Etiqueta em uso,Link do produto,ID do produto,Titulo,Categoria,,Eletronicos
AudioSpot,https://mercadolivre.com/sec/18F2fng,2M0EFL-EJGE,Pedal Guitarra Kokko Efeito Distorção ,Instrumentos Musicais,,Acessórios
AudioSpot,https://mercadolivre.com/sec/1uxaD9K,2M0EFL-6WKE,Pedal de efeito Kokko Mini Booster,Instrumentos Musicais,,Instrumentos Musicais
AudioSpot,https://mercadolivre.com/sec/1baHxB2,2M0EFL-8XXP,Pedal De Guitarra Uafx Lion '68 Super Lead Amp,Acessórios,,
AudioSpot,https://mercadolivre.com/sec/2ucdZdS,2M0EFL-2S9D,Microfone Shure Sm7b,,,
AudioSpot,https://mercadolivre.com/sec/1sNTrQq,2M0EFL-KCCD,Microfone Audio-Technica AT2020,,,
AudioSpot,https://mercadolivre.com/sec/1PwHfwm,2M0EFL-HD3T,Elixir Encordoamento 010 Light Nanoweb Corda Guitarra  ,Acessórios,,
AudioSpot,https://mercadolivre.com/sec/146E3Zm,2M0EFL-XUMQ,Microfone Behringer B-2 Pro Condensador,,,
AudioSpot,https://mercadolivre.com/sec/2ZLYvdS,2M0EFL-R22R,Microfone AKG P170 Condensador,,,
AudioSpot,https://mercadolivre.com/sec/24Pjipw ,2M0EFL-HHPN,Microfone condensador cardióide Se Electronics sE7 de diafragma pequeno,,,
AudioSpot,https://mercadolivre.com/sec/1Ru8ZW1,2M0EFL-BMW5,Audient Evo 4 Interface De Áudio Profissional,,,
AudioSpot,https://mercadolivre.com/sec/2QE93vG,2M0EFL-5X6S,Interface de Áudio Volt 2 Usb 2x2 Universal Audio Cor Arena,,,
AudioSpot,https://mercadolivre.com/sec/1xdf8Qv,2M0EFL-UFL7,Pedal De Afinador De Guitarra Cromático Kokko Ftn Mini Com,,,
AudioSpot,https://mercadolivre.com/sec/18zgHJY,2M0EFL-9BBJ,Arturia Minilab 3 Deep Black,Instrumentos Musicais,,
AudioSpot,https://mercadolivre.com/sec/2nvBoxy,2M0EFL-ZW4A,Interface de áudio Solid State Logic SSL 2+ ,,,
AudioSpot,https://mercadolivre.com/sec/1T3MUyy,2M0EFL-A00W,Controlador De Pés Paintaudio Midi Captain Multi-efeitos Usb,,,
AudioSpot,https://mercadolivre.com/sec/2xNbMGR,2M0EFL-AWS3,Chocolate Plus M-vave Pedal Controlador Midi  ,,,
AudioSpot,https://mercadolivre.com/sec/2QdV9ew,2M0EFL-ZEZM,Controlador Paint Audio Midi Captain Mini De 6 Pés Multi-eff,,,
AudioSpot,https://mercadolivre.com/sec/1dL9BUE,2M0EFL-CSL3,Violão clássico Yamaha C40MII C40MII,,,
